epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,913.327,0.73187,0.37111,1.25167,0.99838,1,0.995,0.84264,0.72357,0.3096,1.46639,0.000834822,0.000834822,0.000834822
44,934.712,0.70923,0.36516,1.2339,0.99805,1,0.995,0.83573,0.73754,0.30805,1.50127,0.000820675,0.000820675,0.000820675
45,956.066,0.71887,0.37499,1.24989,0.99895,1,0.995,0.83791,0.72826,0.31614,1.47739,0.000806528,0.000806528,0.000806528
46,977.441,0.71011,0.36605,1.24087,0.99845,0.99755,0.995,0.84011,0.73066,0.29602,1.48051,0.00079238,0.00079238,0.00079238
47,998.81,0.70897,0.36847,1.25484,0.98755,1,0.995,0.83412,0.74832,0.31654,1.50159,0.000778233,0.000778233,0.000778233
48,1020.19,0.69774,0.36243,1.23794,0.99896,1,0.995,0.83739,0.74796,0.30553,1.5161,0.000764086,0.000764086,0.000764086
49,1041.55,0.69805,0.36254,1.23632,0.99781,1,0.995,0.84157,0.73514,0.29396,1.48616,0.000749939,0.000749939,0.000749939
50,1062.89,0.70199,0.3551,1.22945,0.99883,1,0.995,0.84299,0.72845,0.29482,1.47122,0.000735792,0.000735792,0.000735792
51,1084.25,0.70114,0.35756,1.2396,0.99884,1,0.995,0.84386,0.7132,0.2911,1.45097,0.000721645,0.000721645,0.000721645
52,1105.63,0.71269,0.35732,1.24664,0.99901,1,0.995,0.8484,0.72671,0.29393,1.47324,0.000707498,0.000707498,0.000707498
53,1127.02,0.70625,0.34732,1.23041,0.99905,1,0.995,0.84436,0.72198,0.29576,1.47866,0.000693351,0.000693351,0.000693351
54,1148.39,0.69756,0.34637,1.2295,0.99904,1,0.995,0.85451,0.68636,0.27634,1.42228,0.000679204,0.000679204,0.000679204
55,1169.78,0.6944,0.35573,1.23001,0.99881,1,0.995,0.85188,0.69303,0.28949,1.43458,0.000665057,0.000665057,0.000665057
56,1191.17,0.69959,0.35257,1.23387,0.9983,1,0.995,0.84292,0.74179,0.29929,1.4977,0.000650909,0.000650909,0.000650909
57,1212.57,0.6759,0.33536,1.21996,0.99915,1,0.995,0.85279,0.7159,0.27142,1.45833,0.000636762,0.000636762,0.000636762
58,1233.91,0.68985,0.34529,1.22833,0.99883,1,0.995,0.84391,0.7058,0.27814,1.44508,0.000622615,0.000622615,0.000622615
59,1255.27,0.7006,0.35188,1.22782,0.99893,1,0.995,0.8387,0.74795,0.29539,1.5049,0.000608468,0.000608468,0.000608468
60,1276.68,0.67896,0.34317,1.22048,0.98463,1,0.995,0.84802,0.70649,0.2907,1.45399,0.000594321,0.000594321,0.000594321
61,1298.07,0.6904,0.34012,1.23366,0.99917,1,0.995,0.85011,0.70467,0.27406,1.44067,0.000580174,0.000580174,0.000580174
62,1319.4,0.67849,0.33813,1.22001,0.9988,1,0.995,0.84531,0.73904,0.2861,1.4953,0.000566027,0.000566027,0.000566027
63,1340.78,0.69176,0.34465,1.21992,0.99852,1,0.995,0.84462,0.70756,0.2839,1.44301,0.00055188,0.00055188,0.00055188
