epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1752.71,0.8995,0.48541,1.50674,0.99665,0.99568,0.995,0.69944,1.29524,0.50009,1.05674,0.000834822,0.000834822,0.000834822
44,1779.32,0.89317,0.47577,1.50152,0.99806,0.99462,0.99495,0.70892,1.27507,0.49891,1.0869,0.000820675,0.000820675,0.000820675
45,1823.94,0.88475,0.47778,1.4958,0.99772,0.9981,0.995,0.70994,1.28583,0.48602,1.05157,0.000806528,0.000806528,0.000806528
46,1867.9,0.90017,0.46312,1.47114,0.99866,1,0.995,0.72482,1.25751,0.48616,1.10094,0.00079238,0.00079238,0.00079238
47,1900.7,0.8744,0.46232,1.47654,0.99568,0.99821,0.995,0.71673,1.27796,0.47807,1.04189,0.000778233,0.000778233,0.000778233
48,1924.76,0.87877,0.46532,1.48582,0.99344,1,0.99325,0.71486,1.28518,0.48406,1.05323,0.000764086,0.000764086,0.000764086
49,1963.18,0.8787,0.44902,1.4642,0.99769,1,0.995,0.724,1.26289,0.47104,1.04291,0.000749939,0.000749939,0.000749939
50,2007.54,0.86393,0.44535,1.48285,0.99118,1,0.99479,0.71357,1.26842,0.49155,1.05082,0.000735792,0.000735792,0.000735792
51,2037,0.88087,0.45403,1.4739,0.99894,1,0.995,0.70539,1.28946,0.49151,1.08368,0.000721645,0.000721645,0.000721645
52,2061.13,0.87805,0.44819,1.46865,0.9955,1,0.995,0.70842,1.29369,0.50663,1.09299,0.000707498,0.000707498,0.000707498
53,2091.78,0.85493,0.45033,1.47001,0.99872,1,0.995,0.71513,1.26765,0.48375,1.04971,0.000693351,0.000693351,0.000693351
54,2136.51,0.87947,0.44246,1.47008,0.99914,1,0.995,0.72166,1.26038,0.46567,1.04327,0.000679204,0.000679204,0.000679204
