epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5977,1.11246,2.53512,1.6343,0.75156,0.38986,0.61623,0.34421,1.46573,2.48698,2.60519,0.00046943,0.00046943,0.00046943
2,29.7455,0.9881,1.35199,1.48246,0.94397,0.57457,0.7517,0.50197,1.09369,1.77794,2.23152,0.0009364,0.0009364,0.0009364
3,43.2114,0.96179,1.15157,1.47445,0.69297,0.85743,0.85728,0.51159,1.29558,1.69894,2.251,0.00139394,0.00139394,0.00139394
4,56.6304,0.94475,0.97359,1.44596,0.96059,0.85387,0.93384,0.64109,1.17371,1.20005,2.09255,0.00138656,0.00138656,0.00138656
5,70.0288,0.92295,0.846,1.4198,0.91359,0.93631,0.97115,0.71892,0.95345,0.95983,1.8003,0.00137241,0.00137241,0.00137241
6,83.3936,0.89211,0.75279,1.39055,0.96727,0.946,0.9946,0.75834,0.90741,0.61062,1.84989,0.00135826,0.00135826,0.00135826
7,96.7196,0.86703,0.68715,1.37335,0.9945,0.9972,0.995,0.7637,0.86556,0.50015,1.80398,0.00134412,0.00134412,0.00134412
8,110.095,0.87175,0.66717,1.37068,0.95378,0.91935,0.98144,0.72893,0.94925,0.63854,1.79771,0.00132997,0.00132997,0.00132997
9,121.127,0.84248,0.62121,1.36013,0.99442,0.99672,0.995,0.78946,0.81847,0.43912,1.6321,0.00131582,0.00131582,0.00131582
10,129.229,0.82961,0.57851,1.33671,0.99023,0.97258,0.99254,0.77602,0.87042,0.49746,1.72864,0.00130168,0.00130168,0.00130168
11,138.197,0.83391,0.55994,1.34483,0.9491,0.95822,0.99074,0.69778,1.04934,0.71275,1.89347,0.00128753,0.00128753,0.00128753
12,146.242,0.8461,0.56865,1.35016,0.98631,0.98893,0.99457,0.79641,0.81073,0.41116,1.63356,0.00127338,0.00127338,0.00127338
13,154.11,0.82013,0.53937,1.33583,0.99805,1,0.995,0.78525,0.82383,0.4012,1.65377,0.00125923,0.00125923,0.00125923
14,162.9,0.81371,0.53258,1.3324,0.99875,0.99924,0.995,0.80428,0.77188,0.38535,1.54999,0.00124509,0.00124509,0.00124509
